Receiver time, Accel X,Y,Z, Gyro X,Y,Z, Quaternion W,X,Y,Z, dt(or)index
1375383818236,-210,-448,2047,2,9,-4,1051621382,141666076,-55637674,154431687,-17982
1375383818236,-223,-452,2040,1,10,-5,1051623862,141675172,-55599489,154420211,-17977
1375383818243,-232,-444,2038,2,9,-8,1051626823,141688815,-55564159,154400239,-17972
1375383818243,-228,-456,2042,3,10,-10,1051630377,141704400,-55526147,154375405,-17966
1375383818245,-238,-456,2044,4,10,-9,1051633043,141723849,-55487356,154353340,-17961
1375383818245,-254,-453,2040,3,9,-8,1051635429,141740840,-55453356,154333694,-17956
1375383818255,-257,-458,2048,2,10,-8,1051638191,141754636,-55419023,154314534,-17951
1375383818255,-262,-456,2039,3,10,-7,1051640104,141771455,-55384839,154298318,-17946
1375383818265,-255,-448,2052,3,7,-7,1051641503,141789629,-55359830,154281058,-17941
1375383818265,-243,-448,2049,5,6,-7,1051642241,141812339,-55335961,154263716,-17936
1375383818277,-240,-444,2042,4,4,-5,1051642351,141832673,-55317463,154250906,-17931
1375383818277,-233,-442,2046,4,2,-4,1051641805,141853380,-55304759,154240140,-17926
1375383818283,-227,-445,2043,3,-1,-1,1051639705,141874394,-55300741,154236572,-17921
1375383818283,-219,-439,2060,1,-2,1,1051637401,141890267,-55300359,154237816,-17915
1375383818293,-212,-434,2056,-1,-1,1,1051636247,141898745,-55296938,154239108,-17910
1375383818293,-197,-430,2040,-1,-3,2,1051635034,141904113,-55296410,154242629,-17905
1375383818304,-205,-434,2046,-1,-2,3,1051633690,141908731,-55291928,154249152,-17900
1375383818304,-210,-443,2044,-2,-1,3,1051632763,141910538,-55285870,154255979,-17895
1375383818314,-220,-444,2037,0,0,4,1051631013,141915785,-55277435,154266103,-17890
1375383818314,-227,-451,2042,0,1,4,1051628733,141924329,-55269867,154276498,-17885
1375383818323,-230,-453,2042,0,0,5,1051626278,141930691,-55263737,154289574,-17880
1375383818324,-242,-451,2048,0,3,4,1051624093,141939458,-55251541,154300773,-17875
1375383818335,-254,-452,2043,2,2,3,1051621345,141954139,-55242363,154309282,-17869
1375383818335,-265,-459,2037,2,1,1,1051619109,141969982,-55236723,154311965,-17864
1375383818345,-268,-455,2047,2,-1,-1,1051616785,141990920,-55236786,154308513,-17859
1375383818345,-254,-449,2047,2,-2,-2,1051614797,142011661,-55239585,154301974,-17854
1375383818356,-247,-451,2047,2,-1,-1,1051612772,142030910,-55238390,154298484,-17849
1375383818356,-249,-445,2054,3,-2,-1,1051610269,142053487,-55238701,154294645,-17844
1375383818366,-248,-440,2048,2,-3,0,1051607681,142072617,-55242872,154293178,-17839
1375383818366,-229,-435,2044,2,-5,0,1051604848,142092148,-55252694,154290990,-17834
1375383818373,-216,-437,2048,2,-4,-1,1051602819,142110652,-55257187,154286166,-17828
1375383818373,-215,-443,2052,1,2,1,1051601739,142120689,-55244798,154288720,-17823
1375383818384,-213,-449,2063,-5,20,8,1051603176,142102840,-55184442,154316964,-17818
1375383818384,-190,-423,2043,-15,39,14,1051608705,142048625,-55076788,154367651,-17813
1375383818393,-199,-442,2044,-7,29,12,1051611032,142018477,-54991125,154410076,-17808
